"term","pleasure","arousal","dominance"
"politeness",81.405896,42.403628,65.079365
"pollute",20.975057,68.93424,55.782313
"poster",60.544218,44.557823,55.668934
"poverty",18.93424,55.21542,36.394558
"power",74.14966,75.623583,82.539683
"powerful",77.55102,66.099773,81.519274
"prairie",65.192744,38.662132,52.380952
"present",78.798186,58.049887,66.099773
"pressure",38.321995,68.820862,39.115646
"prestige",82.312925,66.439909,78.231293
"pretty",87.868481,68.367347,62.358277
"prick",45.124717,53.287982,50.680272
"pride",79.365079,66.099773,80.045351
"priest",72.789116,50,55.328798
"prison",23.24263,64.62585,47.619048
"privacy",66.666667,46.712018,64.172336
"profit",86.507937,75.736961,66.326531
"progress",87.641723,68.253968,76.643991
"promotion",92.970522,73.015873,76.984127
"protected",82.653061,46.371882,65.759637
"proud",91.043084,63.038549,76.417234
"pungent",44.78458,48.072562,54.195011
"punishment",25.170068,67.23356,39.68254
"puppy",85.714286,66.326531,62.471655
"pus",32.426304,54.648526,49.319728
"putrid",26.984127,65.079365,55.442177
"python",45.918367,70.068027,51.247166
"quality",70.861678,50.793651,63.945578
"quarrel",33.219955,71.315193,45.578231
"quart",61.111111,40.702948,58.956916
"queen",73.015873,53.968254,62.244898
"quick",75.283447,74.489796,74.489796
"quiet",63.265306,31.972789,50.113379
"rabbit",74.489796,45.578231,68.93424
"rabies",20.068027,69.160998,43.650794
"radiant",76.303855,61.111111,63.605442
"radiator",52.947846,45.578231,54.535147
"radio",76.303855,54.195011,59.863946
"rage",27.324263,92.630385,64.399093
"rain",57.596372,41.38322,54.195011
"rainbow",92.290249,52.60771,53.514739
"rancid",49.206349,57.142857,52.040816
"rape",14.172336,77.210884,33.673469
"rat",34.240363,56.122449,51.587302
"rattle",57.029478,49.433107,47.278912
"razor",54.535147,60.770975,55.668934
"red",72.675737,59.977324,65.53288
"refreshment",84.353741,50.453515,56.689342
"regretful",25.85034,65.079365,38.888889
"rejected",17.006803,72.222222,30.839002
"relaxed",79.365079,27.097506,62.92517
"repentant",62.698413,53.174603,61.451247
"reptile",54.081633,58.730159,54.081633
"rescue",87.301587,74.036281,73.129252
"resent",42.630385,50.680272,50.566893
"reserved",55.328798,37.07483,48.752834
"respect",86.621315,58.843537,78.117914
"respectful",81.85941,52.154195,64.285714
"restaurant",76.643991,61.337868,64.965986
"reunion",73.469388,71.882086,63.945578
"reverent",60.657596,45.351474,52.947846
"revolt",46.825397,74.376417,70.068027
"revolver",45.578231,62.92517,49.773243
"reward",85.37415,56.122449,68.027211
"riches",87.301587,69.954649,76.417234
"ridicule",35.487528,66.099773,43.877551
"rifle",45.578231,71.995465,47.165533
"rigid",41.496599,52.834467,52.267574
"riot",33.560091,72.44898,47.39229
"river",77.664399,51.133787,57.823129
"roach",26.643991,75.283447,54.648526
"robber",29.591837,63.718821,41.043084
"rock",63.038549,51.247166,58.390023
"rollercoaster",90.929705,91.38322,57.823129
"romantic",94.331066,86.054422,68.93424
"rotten",25.623583,51.360544,48.979592
"rough",53.741497,60.430839,54.535147
"rude",28.344671,71.54195,55.668934
"runner",64.285714,53.968254,62.018141
"rusty",43.764172,42.743764,51.360544
"sad",18.253968,46.825397,39.115646
"safe",80.15873,43.764172,65.873016
"sailboat",82.199546,55.328798,66.439909
"saint",73.582766,50.907029,60.884354
"salad",65.079365,43.197279,62.018141
"salute",67.120181,60.204082,61.904762
"sapphire",79.365079,56.689342,62.92517
"satisfied",90.022676,56.00907,69.614512
"save",73.129252,56.122449,68.027211
"savior",87.641723,65.759637,75.283447
"scalding",31.972789,67.460317,43.310658
"scandal",37.641723,58.049887,49.206349
"scapegoat",41.609977,51.360544,39.909297
"scar",38.321995,54.30839,43.99093
"scared",31.519274,77.324263,33.333333
"scholar",82.312925,58.049887,74.716553
"scissors",57.256236,50.680272,58.503401
"scorching",42.630385,56.689342,46.485261
"scorn",32.199546,62.131519,44.557823
"scornful",34.240363,57.142857,52.040816
"scorpion",41.836735,60.997732,45.124717
"scream",43.99093,79.818594,53.854875
"scum",27.55102,55.328798,48.29932
"scurvy",36.1678,53.401361,50.793651
"seasick",23.24263,65.759637,38.662132
"seat",56.122449,33.446712,54.875283
"secure",85.827664,35.600907,67.23356
"selfish",27.437642,62.358277,52.60771
"sentiment",67.800454,50,57.709751
"serious",57.596372,45.351474,58.049887
"severe",36.281179,59.637188,43.424036
"sex",91.269841,83.446712,65.192744
"sexy",90.929705,83.446712,77.324263
"shadow",49.319728,48.752834,47.505669
"shamed",28.344671,55.328798,33.786848
"shark",41.38322,81.179138,29.818594
"sheltered",65.192744,48.526077,42.630385
"ship",62.92517,49.659864,58.049887
"shotgun",49.546485,71.088435,59.977324
"shriek",44.557823,60.770975,48.752834
"shy",52.60771,42.743764,39.002268
"sick",21.54195,48.639456,34.46712
"sickness",25.510204,63.605442,43.537415
"silk",78.231293,42.063492,54.535147
"silly",84.013605,66.666667,68.027211
"sin",31.746032,65.53288,41.043084
"sinful",33.219955,71.315193,48.072562
"sissy",35.600907,58.61678,40.589569
"skeptical",51.247166,55.668934,51.020408
"skijump",80.045351,80.045351,55.555556
"skull",48.412698,53.854875,55.102041
"sky",83.560091,48.412698,58.503401
"skyscraper",66.666667,64.739229,49.092971
"slap",33.446712,73.24263,47.732426
"slaughter",18.594104,76.75737,43.310658
"slave",20.861678,70.408163,37.301587
"sleep",81.632653,31.746032,61.337868
"slime",30.385488,60.770975,47.278912
"slow",44.557823,38.435374,49.319728
"slum",27.097506,54.195011,43.424036
"slush",52.834467,42.290249,55.668934
"smallpox",28.571429,63.265306,48.639456
"smooth",74.603175,55.668934,57.709751
"snake",37.528345,77.324263,42.857143
"snob",38.095238,64.058957,57.936508
"snow",80.272109,65.192744,65.759637
"snuggle",89.795918,47.165533,64.172336
"social",78.004535,56.462585,67.006803
"soft",80.725624,52.494331,68.027211
"solemn",48.979592,40.362812,52.267574
"song",80.498866,68.820862,66.326531
"soothe",82.76644,49.886621,60.770975
"sour",44.557823,57.823129,52.60771
"space",76.870748,58.276644,58.956916
"spanking",40.249433,61.337868,44.331066
"sphere",60.430839,43.99093,56.689342
"spider",37.755102,64.739229,53.854875
"spirit",79.365079,63.038549,65.986395
"spouse",85.941043,59.070295,62.698413
"spray",61.791383,46.938776,58.049887
"spring",87.981859,64.285714,70.975057
"square",53.741497,36.054422,51.133787
"stagnant",47.052154,44.557823,53.401361
"star",82.426304,66.099773,53.061224
"startled",51.020408,78.571429,50.793651
"starving",27.097506,63.605442,41.156463
"statue",58.61678,39.229025,56.122449
"stench",24.829932,49.433107,48.639456
"stiff",53.061224,45.578231,55.895692
"stink",34.013605,48.29932,47.165533
"stomach",54.648526,44.557823,53.061224
"stool",51.70068,45.351474,56.462585
"storm",56.122449,64.739229,51.473923
"stove",56.462585,51.133787,60.770975
"street",59.183673,38.435374,54.535147
"stress",23.696145,84.46712,44.557823
"strong",80.612245,67.120181,78.45805
"stupid",26.190476,53.514739,33.786848
"subdued",52.947846,32.879819,46.258503
"success",93.99093,69.274376,78.117914
"suffocate",17.687075,68.367347,39.002268
"sugar",76.417234,63.945578,62.358277
"suicide",14.172336,64.965986,40.589569
"sun",85.600907,57.142857,69.84127
"sunlight",87.981859,69.160998,63.8322
"sunrise",89.115646,57.369615,59.977324
"sunset",87.07483,47.619048,64.172336
"surgery",32.426304,71.995465,31.179138
"surprised",84.693878,84.693878,69.274376
"suspicious",42.630385,70.861678,50.680272
"swamp",58.276644,55.102041,59.977324
"sweetheart",95.464853,62.358277,68.367347
"swift",73.24263,61.111111,71.315193
"swimmer",74.14966,54.648526,67.573696
"syphilis",19.047619,64.512472,37.755102
"table",59.183673,33.106576,50.680272
"talent",85.714286,71.088435,73.582766
"tamper",46.485261,56.122449,51.927438
"tank",58.503401,55.328798,54.195011
"taste",75.510204,59.183673,62.358277
"taxi",56.689342,38.662132,52.60771
"teacher",64.399093,45.918367,57.936508
"tease",54.875283,66.553288,52.947846
"tender",78.571429,55.328798,60.430839
"tennis",68.253968,52.267574,63.605442
"tense",40.362812,74.036281,59.183673
"termite",40.589569,61.111111,43.877551
"terrible",21.882086,71.088435,40.589569
"terrific",92.517007,70.634921,74.829932
"terrified",19.501134,89.115646,34.920635
"terrorist",19.160998,82.426304,30.045351
"thankful",78.117914,49.206349,60.31746
"theory",60.090703,52.380952,55.328798
"thermometer",53.628118,42.970522,49.773243
"thief",24.14966,78.117914,42.970522
"thorn",41.269841,58.276644,50.453515
"thought",72.44898,54.761905,68.253968
"thoughtful",86.734694,64.852608,63.605442
"thrill",91.269841,90.929705,74.14966
"tidy",71.428571,45.124717,62.244898
"time",60.204082,52.60771,52.494331
"timid",43.764172,46.598639,35.034014
"tobacco",37.188209,54.761905,46.258503
"tomb",33.333333,53.628118,42.176871
"tool",58.843537,49.092971,64.285714
"toothache",22.44898,62.92517,44.217687
"tornado",28.911565,77.437642,48.752834
"torture",17.687075,69.160998,37.755102
"tower",61.904762,44.78458,65.53288
"toxic",23.809524,72.562358,50.113379
"toy",79.365079,57.936508,69.047619
"tragedy",20.181406,70.748299,39.68254
"traitor",25.170068,65.53288,52.267574
"trash",30.272109,47.165533,59.410431
"trauma",23.809524,71.768707,32.199546
"travel",80.498866,70.408163,71.54195
"treasure",93.764172,76.530612,72.108844
"treat",83.446712,63.718821,65.53288
"tree",71.655329,38.77551,57.596372
"triumph",88.435374,65.53288,79.138322
"triumphant",100,76.870748,78.798186
"trophy",88.208617,61.111111,73.015873
"trouble",34.353741,77.664399,54.988662
"troubled",24.603175,67.346939,44.331066
"truck",62.018141,54.875283,60.430839
"trumpet",65.192744,56.349206,51.814059
"trunk",57.709751,47.39229,58.276644
"trust",75.736961,60.090703,74.943311
"truth",88.435374,56.689342,73.356009
"tumor",26.75737,73.809524,40.589569
"tune",78.571429,53.401361,65.079365
"twilight",81.972789,53.287982,63.378685
"ugly",27.55102,60.997732,48.29932
"ulcer",20.181406,69.387755,47.278912
"umbrella",58.503401,41.723356,61.451247
"unfaithful",23.24263,70.294785,34.240363
"unhappy",17.800454,47.39229,37.868481
"unit",63.378685,42.517007,57.936508
"untroubled",86.394558,44.104308,62.698413
"upset",22.675737,66.439909,46.258503
"urine",36.848073,47.619048,59.410431
"useful",80.952381,48.29932,67.23356
"useless",24.14966,55.21542,44.444444
"utensil",58.276644,40.47619,61.22449
"vacation",92.517007,63.945578,77.097506
"vagina",69.614512,62.92517,66.666667
"valentine",91.950113,68.707483,65.873016
"vampire",48.29932,72.222222,57.256236
"vandal",30.725624,72.562358,44.331066
"vanity",48.752834,56.462585,54.421769
"vehicle",71.088435,52.494331,65.419501
"venom",30.385488,68.93424,44.671202
"vest",59.52381,44.78458,57.709751
"victim",24.716553,68.707483,30.498866
"victory",94.331066,75.170068,82.312925
"vigorous",76.984127,66.893424,61.337868
"village",67.120181,46.258503,56.00907
"violent",25.963719,78.117914,58.503401
"violin",61.564626,39.569161,58.730159
"virgin",73.129252,62.471655,70.748299
"virtue",70.521542,51.247166,69.501134
"vision",75.056689,52.834467,68.253968
"volcano",54.875283,71.768707,36.848073
"vomit",23.356009,65.192744,40.589569
"voyage",70.861678,62.92517,58.730159
"wagon",60.884354,45.124717,57.256236
"war",23.582766,84.920635,51.020408
"warmth",84.013605,42.290249,63.605442
"wasp",38.208617,62.358277,42.630385
"waste",33.219955,46.938776,53.514739
"watch",65.53288,46.485261,60.884354
"water",74.943311,56.349206,57.596372
"waterfall",89.342404,60.884354,58.956916
"wealthy",87.301587,65.759637,76.75737
"weapon",45.011338,68.367347,58.843537
"weary",42.970522,43.197279,45.351474
"wedding",88.662132,67.687075,75.736961
"whistle",65.873016,53.174603,59.750567
"white",73.356009,49.546485,67.800454
"whore",26.077098,66.326531,52.267574
"wicked",33.560091,69.047619,49.433107
"wife",71.768707,55.895692,63.151927
"win",95.011338,87.528345,83.786848
"windmill",63.492063,42.403628,59.410431
"window",67.006803,45.011338,55.668934
"wine",67.460317,54.195011,60.204082
"wink",78.571429,61.678005,64.62585
"wise",85.260771,44.331066,75.963719
"wish",80.385488,58.503401,59.863946
"wit",82.993197,61.451247,72.335601
"woman",75.283447,60.31746,71.768707
"wonder",68.367347,56.689342,60.31746
"world",73.696145,60.31746,59.637188
"wounds",28.45805,65.986395,44.444444
"writer",62.585034,49.092971,53.628118
"yacht",78.798186,63.605442,69.160998
"yellow",63.605442,50.226757,62.018141
"young",78.117914,63.945578,60.090703
"youth",76.530612,64.285714,57.936508
"zest",76.984127,63.378685,68.027211
